	Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts	Pathogenic_change
42	ABCA4	24	5969	2760	5911	868	601691	830	242	574.0
43	ABCA5	23461	53	51	36	2	612503	5	0	1.0
44	ABCA6	23460	19	19	0	1	612504	4	0	1.0
45	ABCA7	10347	163	148	113	8	605414	35	6	8.0
46	ABCA8	10351	23	23	6	0	612505	3	0	0.0
47	ABCA9	10350	18	18	0	1	612507	3	0	0.0
48	ABCA9-AS1	104355297	3	3	0	0	0	0	0	0.0
49	ABCB1	5243	674	660	652	3	171050	8	0	2.0
50	ABCB10	23456	42	41	3	0	605454	3	0	0.0
51	ABCB11	8647	1427	967	1394	149	603201	222	74	124.0
52	ABCB4	5244	759	453	728	86	171060	211	29	69.0
53	ABCB5	340273	44	44	6	0	611785	7	0	0.0
54	ABCB6	10058	161	101	124	7	605452	21	1	-2.0
55	ABCB7	22	303	247	158	8	300135	32	2	-1.0
56	ABCB8	11194	79	79	9	0	605464	7	0	0.0
57	ABCB9	23457	19	19	0	0	605453	3	0	0.0
58	ABCC1	4363	391	384	47	14	158343	146	0	8.0
59	ABCC10	89845	12	12	1	0	612509	0	0	0.0
60	ABCC11	85320	44	42	21	0	607040	8	0	0.0
61	ABCC12	94160	31	31	8	0	607041	4	0	0.0
62	ABCC2	1244	595	429	578	61	601107	238	26	44.0
63	ABCC3	8714	24	23	13	0	604323	1	0	0.0
64	ABCC4	10257	106	106	18	0	605250	14	0	-1.0
65	ABCC5	10057	42	42	4	1	605251	3	0	0.0
66	ABCC5-AS1	100873982	18	18	0	1	0	1	0	0.0
67	ABCC6	368	2115	1307	1767	290	603234	520	21	-83.0
68	ABCC8	6833	3823	1569	3801	236	600509	313	365	112.0
69	ABCC9	10060	2307	1266	2262	36	601439	566	69	11.0
70	ABCD1	215	1960	1220	1707	313	300371	310	54	235.0
71	ABCD2	225	23	23	2	0	601081	11	0	0.0
72	ABCD3	5825	54	50	39	1	170995	16	0	0.0
73	ABCD4	5826	403	308	377	13	603214	76	5	8.0
74	ABCE1	6059	38	38	5	0	601213	3	0	0.0
75	ABCF1	23	13	13	3	0	603429	1	0	0.0
76	ABCF2	10061	71	71	0	1	612510	6	0	0.0
78	ABCF3	55324	39	39	1	0	618967	2	0	-2.0
79	ABCG1	9619	97	88	5	3	603076	5	0	3.0
80	ABCG2	9429	51	42	26	0	603756	5	0	0.0
81	ABCG4	64137	40	39	4	0	607784	7	0	-10.0
82	ABCG5	64240	762	457	681	30	605459	205	39	19.0
83	ABCG8	64241	907	518	880	30	605460	226	57	30.0
84	ABHD1	84696	20	20	0	0	612195	4	0	0.0
85	ABHD10	55347	16	16	0	0	618756	0	0	0.0
86	ABHD11	83451	169	160	1	1	0	5	0	1.0
87	ABHD11-AS1	171022	167	158	0	0	612545	5	0	-13.0
88	ABHD12	26090	553	430	518	35	613599	194	23	35.0
89	ABHD12B	145447	16	16	0	0	0	6	0	0.0
90	ABHD13	84945	105	105	0	0	0	7	0	0.0
91	ABHD14A	25864	13	13	0	0	618771	2	0	-5.0
92	ABHD14A-ACY1	100526760	122	83	0	8	0	34	0	8.0
93	ABHD14B	84836	13	13	0	0	0	2	0	0.0
94	ABHD15	116236	12	12	0	0	619894	1	0	0.0
95	ABHD16A	7920	27	22	16	4	142620	9	0	4.0
96	ABHD16B	140701	50	47	0	0	620190	6	0	0.0
97	ABHD17A	81926	34	34	0	0	617942	4	0	0.0
98	ABHD17B	51104	48	48	0	0	617943	8	0	0.0
99	ABHD17C	58489	24	23	0	0	617944	5	0	0.0
100	ABHD18	80167	43	41	0	0	0	9	0	0.0
101	ABHD2	11057	41	40	5	1	612196	2	0	1.0
102	ABHD3	171586	38	36	1	0	612197	2	0	0.0
103	ABHD4	63874	27	27	0	0	619728	2	0	-8.0
104	ABHD5	51099	220	194	210	20	604780	100	4	20.0
105	ABHD6	57406	13	13	1	0	616966	2	0	0.0
106	ABHD8	79575	19	19	1	0	0	6	0	-1.0
107	ABI1	10006	23	21	1	1	603050	3	0	1.0
108	ABI2	10152	30	29	0	0	606442	1	0	0.0
109	ABI3	51225	19	19	4	0	606363	4	0	0.0
110	ABI3BP	25890	19	19	0	1	606279	1	0	-29.0
111	ABITRAM	54942	43	43	0	0	0	6	0	-1.0
112	ABL1	25	297	237	225	45	189980	65	1	44.0
113	ABL2	27	37	36	8	1	164690	5	0	1.0
114	ABLIM1	3983	29	29	0	1	602330	3	0	1.0
115	ABLIM2	84448	74	74	3	0	612544	5	0	0.0
116	ABLIM3	22885	24	23	5	0	611305	5	0	-15.0
117	ABO	28	72	77	25	0	110300	6	0	0.0
118	ABR	29	166	166	6	25	600365	33	0	25.0
120	ABRA	137735	43	43	0	0	609747	3	0	-1.0
121	ABRACL	58527	16	16	0	0	0	2	0	0.0
122	ABRAXAS1	84142	802	598	764	0	611143	343	22	0.0
123	ABRAXAS2	23172	51	51	0	1	611144	2	0	0.0
124	ABT1	29777	13	13	0	0	618750	5	0	0.0
125	ABTB1	80325	14	14	0	0	608308	1	0	0.0
126	ABTB2	25841	34	34	0	2	0	6	0	2.0
127	ABTB3	121551	16	16	1	0	0	4	0	-1.0
128	ACAA1	30	19	19	1	0	604054	7	0	0.0
129	ACAA2	10449	46	44	1	0	604770	4	0	0.0
130	ACACA	31	202	183	66	2	200350	26	1	-12.0
131	ACACB	32	87	85	53	1	601557	13	1	-23.0
132	ACAD10	80724	20	20	0	0	611181	3	0	0.0
133	ACAD11	84129	24	24	2	2	614288	9	0	-83.0
134	ACAD8	27034	380	304	282	19	604773	107	14	-32.0
135	ACAD9	28976	818	560	795	91	611103	92	26	84.0
137	ACADL	33	43	38	13	0	609576	10	2	-14.0
138	ACADM	34	1272	635	1240	218	607008	140	55	217.0
139	ACADS	35	595	328	575	57	606885	151	30	57.0
140	ACADSB	36	384	301	336	16	600301	125	14	16.0
141	ACADVL	37	2584	1297	2531	275	609575	455	121	245.0
142	ACAN	176	837	542	799	73	155760	174	11	73.0
143	ACAP1	9744	30	29	0	1	607763	5	0	0.0
144	ACAP2	23527	49	49	1	1	607766	9	0	1.0
145	ACAP3	116983	173	165	0	0	0	17	0	0.0
146	ACAT1	38	692	469	668	146	607809	105	18	145.0
147	ACAT2	39	35	35	9	1	100678	6	0	-4.0
148	ACBD3	64746	39	38	1	1	606809	3	0	1.0
149	ACBD3-AS1	107985353	14	14	0	0	0	0	0	0.0
150	ACBD4	79777	12	12	0	0	619968	2	0	0.0
151	ACBD5	91452	341	315	296	11	616618	131	3	9.0
152	ACBD6	84320	120	100	3	8	616352	32	0	-4.0
153	ACBD7	414149	19	19	0	0	0	0	0	0.0
155	ACCS	84680	28	28	4	0	608405	7	0	-1.0
156	ACCSL	390110	24	24	0	0	0	7	0	-1.0
157	ACD	65057	1098	834	1063	2	609377	438	15	2.0
158	ACE	1636	507	324	485	27	106180	137	19	27.0
159	ACE2	59272	193	185	7	0	300335	14	0	-3.0
160	ACE2-DT	104798195	87	83	0	0	0	2	0	0.0
161	ACER1	125981	14	14	2	0	613491	4	0	-1.0
162	ACER2	340485	97	96	0	2	613492	8	0	2.0
163	ACER3	55331	53	49	42	3	617036	17	1	3.0
164	ACHE	43	36	36	11	0	100740	4	0	0.0
165	ACIN1	22985	23	23	0	0	604562	1	0	0.0
166	ACKR1	2532	22	17	9	3	613665	4	0	-10.0
167	ACKR2	1238	8	8	0	0	602648	1	0	0.0
168	ACKR3	57007	77	76	7	4	610376	7	0	3.0
169	ACKR4	51554	17	17	0	0	606065	4	0	0.0
170	ACLY	47	24	24	16	0	108728	10	0	0.0
171	ACMSD	130013	19	19	4	0	608889	2	0	0.0
172	ACO1	48	75	74	5	0	100880	2	0	0.0
173	ACO2	50	654	507	612	56	100850	208	7	56.0
174	ACOD1	730249	70	70	4	0	615275	1	0	0.0
175	ACOT1	641371	30	30	8	1	614313	0	0	-1.0
176	ACOT11	26027	41	41	5	0	606803	3	0	0.0
177	ACOT12	134526	11	11	0	0	614315	4	0	0.0
178	ACOT13	55856	11	11	0	0	615652	3	0	-13.0
179	ACOT2	10965	23	22	2	1	609972	0	0	-1.0
180	ACOT4	122970	18	18	0	0	614314	3	0	0.0
181	ACOT6	641372	14	14	0	0	614267	0	0	-1.0
182	ACOT7	11332	68	68	3	2	602587	6	0	2.0
183	ACOT8	10005	10	10	0	0	608123	0	0	0.0
184	ACOT9	23597	165	157	3	0	300862	8	0	0.0
185	ACOX1	51	639	517	614	41	609751	192	15	34.0
186	ACOX2	8309	86	82	65	2	601641	30	1	-8.0
187	ACOX3	8310	94	94	17	1	603402	12	0	0.0
188	ACOXL	55289	64	62	0	1	0	22	0	1.0
189	ACOXL-AS1	400997	18	16	0	0	0	12	0	0.0
190	ACP1	52	66	66	8	0	171500	16	0	-36.0
191	ACP2	53	27	27	11	0	171650	2	0	0.0
192	ACP3	55	21	21	5	0	171790	4	0	0.0
193	ACP4	93650	38	35	19	7	606362	8	1	7.0
194	ACP5	54	273	224	256	26	171640	115	3	26.0
195	ACP6	51205	286	275	4	2	611471	11	0	2.0
196	ACP7	390928	9	9	0	0	610490	0	0	-19.0
197	ACR	49	167	163	6	43	102480	6	0	43.0
198	ACRBP	84519	48	47	1	0	608352	6	0	0.0
199	ACRV1	56	61	61	1	0	102525	4	0	-5.0
200	ACSBG1	23205	36	35	4	0	614362	8	0	0.0
201	ACSBG2	81616	16	16	4	0	614363	3	0	0.0
202	ACSF2	80221	16	16	0	0	610465	0	0	0.0
203	ACSF3	197322	999	697	903	99	614245	145	7	99.0
204	ACSL1	2180	111	111	3	0	152425	9	0	0.0
205	ACSL3	2181	37	37	4	0	602371	1	0	0.0
207	ACSL4	2182	296	260	121	13	300157	55	6	13.0
208	ACSL5	51703	29	29	4	0	605677	1	0	0.0
209	ACSL6	23305	24	23	3	0	604443	3	0	0.0
211	ACSM1	116285	28	28	3	0	614357	8	0	0.0
212	ACSM2A	123876	26	26	2	0	614358	7	0	-59.0
213	ACSM2B	348158	28	28	3	0	614359	7	0	-20.0
214	ACSM3	6296	38	33	0	8	145505	7	0	1.0
215	ACSM4	341392	53	49	0	0	614360	9	0	-41.0
216	ACSM5	54988	29	29	3	0	614361	8	0	0.0
217	ACSM6	142827	24	24	0	0	0	8	0	-22.0
218	ACSS1	84532	26	26	1	0	614355	5	0	-23.0
219	ACSS2	55902	23	23	5	1	605832	1	0	-19.0
220	ACSS3	79611	16	16	0	0	614356	4	0	0.0
221	ACTA1	58	608	392	562	135	102610	112	24	135.0
222	ACTA2	59	786	428	748	32	102620	200	34	31.0
223	ACTA2-AS1	100132116	265	151	0	7	0	83	0	7.0
224	ACTB	60	644	406	586	102	102630	86	12	102.0
225	ACTBL2	345651	16	16	1	0	614835	5	0	0.0
226	ACTC1	70	1298	607	1274	24	102540	291	43	24.0
227	ACTE1P	399923	2	2	0	0	0	1	0	-6.0
228	ACTG1	71	811	412	779	49	102560	84	15	49.0
229	ACTG2	72	151	75	137	35	102545	21	0	27.0
230	ACTL10	170487	20	20	0	0	0	3	0	0.0
231	ACTL6A	86	48	45	13	0	604958	13	1	-4.0
232	ACTL6B	51412	114	76	86	30	612458	16	4	30.0
233	ACTL7A	10881	42	42	1	1	604303	4	0	1.0
234	ACTL7B	10880	41	41	1	0	604304	3	0	0.0
235	ACTL8	81569	21	21	0	0	0	7	0	0.0
236	ACTL9	284382	13	13	3	3	619251	3	0	3.0
237	ACTMAP	284325	9	9	0	0	620093	0	0	-4.0
238	ACTN1	87	184	157	168	30	102575	35	3	26.0
239	ACTN1-DT	161159	3	3	0	0	0	0	0	0.0
240	ACTN2	88	2339	1157	2280	18	102573	598	68	18.0
241	ACTN3	89	20	17	5	0	102574	6	1	0.0
242	ACTN4	81	418	235	400	8	604638	62	5	8.0
243	ACTR10	55860	19	19	0	0	619731	0	0	0.0
244	ACTR1A	10121	17	17	0	0	605143	1	0	-1.0
245	ACTR1B	10120	24	24	0	0	605144	3	0	-14.0
246	ACTR2	10097	19	19	1	1	604221	2	0	-1.0
247	ACTR3	10096	19	19	1	1	604222	2	0	1.0
248	ACTR3B	57180	87	87	0	1	0	17	0	-2.0
249	ACTR3C	653857	67	67	1	4	0	6	0	3.0
250	ACTR5	79913	10	10	0	0	619730	1	0	0.0
251	ACTR6	64431	19	19	0	0	619729	7	0	-115.0
252	ACTR8	93973	11	11	1	0	619716	2	0	-5.0
253	ACTRT1	139741	191	183	7	0	300487	12	0	0.0
254	ACTRT2	140625	137	132	0	0	608535	23	0	0.0
255	ACTRT3	84517	25	25	0	1	608534	3	0	1.0
256	ACVR1	90	233	169	201	13	102576	50	1	-26.0
257	ACVR1B	91	16	16	5	3	601300	2	0	-10.0
258	ACVR1C	130399	52	52	28	1	608981	2	0	1.0
259	ACVR2A	92	40	40	4	5	102581	2	0	5.0
260	ACVR2B	93	392	323	374	1	602730	182	2	0.0
261	ACVR2B-AS1	100128640	14	13	0	0	0	6	0	-6.0
262	ACVRL1	94	1402	818	1365	371	601284	196	39	370.0
263	ACY1	95	133	94	118	8	104620	36	6	7.0
264	ACY3	91703	22	22	0	0	614413	6	0	0.0
265	ACYP1	97	47	22	27	0	600875	2	1	-1.0
266	ACYP2	98	40	40	1	0	102595	5	0	0.0
267	ADA	100	846	448	833	114	608958	107	18	114.0
268	ADA2	51816	680	434	596	45	607575	195	10	44.0
269	ADAD1	132612	24	24	0	0	614130	0	0	0.0
270	ADAD2	161931	67	67	1	1	619532	18	0	1.0
271	ADAL	161823	26	25	2	1	619346	9	0	1.0
272	ADAM10	102	64	61	42	6	602192	10	0	5.0
273	ADAM11	4185	14	14	2	1	155120	1	0	1.0
274	ADAM12	8038	71	71	7	1	602714	5	0	1.0
275	ADAM15	8751	22	17	4	0	605548	6	0	0.0
276	ADAM17	6868	425	385	404	9	603639	168	0	7.0
277	ADAM18	8749	49	49	0	1	619495	4	0	1.0
278	ADAM19	8728	29	29	8	0	603640	2	0	0.0
279	ADAM2	2515	50	50	0	1	601533	5	0	1.0
280	ADAM20	8748	12	12	0	0	603712	1	0	-6.0
281	ADAM21	8747	12	12	0	0	603713	1	0	0.0
282	ADAM22	53616	56	52	34	4	603709	8	1	4.0
283	ADAM23	8745	38	38	11	1	603710	3	0	-7.0
284	ADAM28	10863	79	79	4	1	606188	5	0	1.0
285	ADAM29	11086	70	70	0	1	604778	8	0	-26.0
286	ADAM30	11085	20	20	0	0	604779	10	0	0.0
287	ADAM32	203102	51	51	0	2	618602	4	0	2.0
288	ADAM33	80332	54	53	12	0	607114	15	0	0.0
289	ADAM7	8756	79	79	1	1	607310	8	0	-3.0
290	ADAM7-AS1	101929294	57	57	0	0	0	5	0	-4.0
291	ADAM7-AS2	101929315	43	43	0	0	0	5	0	0.0
292	ADAM8	101	117	117	8	0	602267	14	0	0.0
293	ADAM9	8754	458	395	404	19	602713	170	17	15.0
294	ADAMDEC1	27299	84	84	9	0	606393	6	0	0.0
295	ADAMTS1	9510	95	90	21	1	605174	6	0	0.0
296	ADAMTS10	81794	613	489	604	13	608990	205	26	13.0
297	ADAMTS12	81792	39	39	9	0	606184	4	0	0.0
298	ADAMTS13	11093	582	377	538	53	604134	125	14	52.0
299	ADAMTS14	140766	22	22	7	0	607506	2	0	0.0
300	ADAMTS15	170689	85	85	5	0	607509	2	0	0.0
301	ADAMTS16	170690	107	107	1	1	607510	3	0	1.0
302	ADAMTS16-DT	101929176	47	47	0	0	0	0	0	0.0
303	ADAMTS17	170691	1036	845	921	23	607511	356	43	21.0
304	ADAMTS18	170692	847	814	778	37	607512	408	2	29.0
305	ADAMTS19	171019	39	38	12	5	607513	7	0	-3.0
306	ADAMTS19-AS1	103689846	7	7	0	0	0	1	0	-1.0
307	ADAMTS2	9509	1998	1221	1937	62	604539	396	77	52.0
308	ADAMTS20	80070	18	18	3	0	611681	5	0	0.0
309	ADAMTS3	9508	56	49	24	4	605011	8	0	4.0
310	ADAMTS4	9507	26	24	1	0	603876	10	0	0.0
311	ADAMTS5	11096	85	80	7	0	605007	8	0	0.0
312	ADAMTS6	11174	21	21	2	2	605008	4	0	-19.0
313	ADAMTS7	11173	38	37	16	0	605009	2	0	-3.0
314	ADAMTS8	11095	81	81	1	1	605175	2	0	-1.0
315	ADAMTS9	56999	164	149	151	2	605421	17	0	2.0
316	ADAMTS9-AS1	101929335	14	14	0	1	0	1	0	1.0
317	ADAMTS9-AS2	100507098	16	15	0	3	0	1	0	2.0
318	ADAMTSL1	92949	123	122	17	10	609198	14	0	9.0
319	ADAMTSL2	9719	340	247	298	15	612277	121	13	15.0
320	ADAMTSL3	57188	140	137	95	1	609199	11	0	1.0
321	ADAMTSL4	54507	640	476	622	34	610113	238	24	34.0
322	ADAMTSL4-AS1	574406	3	3	0	0	0	0	0	-1.0
324	ADAMTSL5	339366	28	28	0	0	0	6	0	-3.0
325	ADAP1	11033	81	81	2	0	608114	12	0	0.0
326	ADAP2	55803	61	60	1	0	608635	15	0	0.0
327	ADAR	103	1033	818	1011	57	146920	419	18	48.0
328	ADARB1	104	132	120	16	6	601218	26	1	4.0
329	ADARB2	105	70	70	9	4	602065	17	0	4.0
330	ADARB2-AS1	642394	16	16	0	0	0	2	0	0.0
331	ADAT1	23536	49	49	1	0	604230	19	0	-4.0
332	ADAT2	134637	16	16	1	1	615388	3	0	1.0
333	ADAT3	113179	120	93	85	3	615302	40	3	3.0
334	ADCK1	57143	26	26	0	0	0	6	0	0.0
335	ADCK2	90956	41	41	0	0	0	4	0	0.0
336	ADCK5	203054	75	74	0	0	0	15	0	-1.0
337	ADCY1	107	214	170	187	1	103072	28	0	1.0
338	ADCY10	55811	334	272	311	12	605205	60	0	11.0
339	ADCY2	108	115	115	7	2	103071	9	0	2.0
340	ADCY3	109	70	67	43	0	600291	10	0	0.0
341	ADCY4	196883	24	24	1	0	600292	1	0	0.0
342	ADCY5	111	679	480	637	41	600293	152	17	40.0
343	ADCY6	112	74	72	58	4	600294	11	0	4.0
344	ADCY6-DT	100506125	1	1	0	0	0	0	0	0.0
345	ADCY7	113	34	34	7	0	600385	3	0	-2.0
346	ADCY8	114	68	68	6	0	103070	6	0	0.0
347	ADCY9	115	79	75	22	5	603302	10	0	5.0
348	ADCYAP1	116	152	147	0	0	102980	28	0	0.0
349	ADCYAP1R1	117	34	34	2	0	102981	5	0	0.0
350	ADD1	118	128	126	12	4	102680	9	0	-1.0
351	ADD2	119	15	15	3	0	102681	2	0	0.0
352	ADD3	120	125	117	100	1	601568	47	1	1.0
353	ADD3-AS1	100505933	7	7	0	0	0	1	0	0.0
354	ADGB	79747	19	19	0	2	614630	4	0	2.0
355	ADGB-DT	101928661	6	6	0	0	0	0	0	-2.0
356	ADGRA1	84435	111	111	1	1	612302	15	0	1.0
357	ADGRA1-AS1	100128127	42	42	0	0	0	6	0	0.0
358	ADGRA2	25960	62	61	6	0	606823	9	0	-25.0
359	ADGRA3	166647	606	599	570	1	612303	365	0	-2.0
360	ADGRB1	575	70	70	10	1	602682	5	0	1.0
361	ADGRB2	576	97	97	78	1	602683	26	0	0.0
362	ADGRB3	577	24	24	2	6	602684	3	0	6.0
363	ADGRB3-DT	101928307	2	2	0	0	0	0	0	-3.0
364	ADGRD1	283383	25	25	0	0	613639	3	0	0.0
365	ADGRD1-AS1	105755954	9	9	0	0	0	0	0	-2.0
366	ADGRD2	347088	31	31	0	0	0	1	0	0.0
367	ADGRE1	2015	17	17	6	0	600493	1	0	0.0
368	ADGRE2	30817	86	84	69	5	606100	5	0	5.0
369	ADGRE3	84658	33	33	0	0	606101	2	0	0.0
370	ADGRE5	976	22	22	4	0	601211	2	0	-58.0
371	ADGRF1	266977	13	13	2	0	617430	0	0	0.0
372	ADGRF2	222611	12	12	0	0	0	1	0	0.0
373	ADGRF3	165082	21	21	0	2	0	3	0	2.0
374	ADGRF4	221393	13	13	1	0	614268	2	0	0.0
375	ADGRF5	221395	11	11	0	0	0	0	0	0.0
376	ADGRF5-AS1	101926962	2	2	0	0	0	0	0	0.0
377	ADGRG1	9289	915	625	886	66	604110	131	42	66.0
378	ADGRG2	10149	205	195	21	10	300572	16	0	10.0
379	ADGRG3	222487	31	31	0	0	618441	7	0	0.0
380	ADGRG4	139378	184	174	8	1	301085	6	0	1.0
381	ADGRG5	221188	29	29	2	0	616965	7	0	-2.0
382	ADGRG6	57211	103	96	84	5	612243	18	0	4.0
383	ADGRG7	84873	29	28	7	0	612307	0	0	0.0
384	ADGRL1	22859	39	33	20	12	616416	4	0	11.0
385	ADGRL1-AS1	100507373	26	21	0	10	0	3	0	10.0
386	ADGRL2	23266	23	23	4	0	607018	3	0	0.0
387	ADGRL3	23284	31	31	0	0	616417	10	0	-6.0
388	ADGRL3-AS1	101927186	8	8	0	0	0	0	0	0.0
389	ADGRL4	64123	27	27	1	0	616419	10	0	-2.0
390	ADGRV1	84059	5819	3566	5749	318	602851	1723	273	318.0
391	ADH1A	124	20	20	1	0	103700	1	0	-33.0
392	ADH1B	125	31	30	11	0	103720	5	0	-4.0
393	ADH1C	126	29	28	10	0	103730	5	0	0.0
394	ADH4	127	20	20	1	0	103740	3	0	0.0
395	ADH5	128	24	23	5	3	103710	4	0	3.0
396	ADH6	130	17	17	0	0	103735	1	0	0.0
397	ADH7	131	21	21	1	0	600086	5	0	0.0
398	ADHFE1	137872	28	28	0	0	611083	2	0	-3.0
399	ADI1	55256	37	37	0	0	613400	12	0	0.0
400	ADIG	149685	9	9	0	0	611396	0	0	0.0
401	ADIPOQ	9370	58	58	9	2	605441	6	0	2.0
402	ADIPOQ-AS1	100874095	23	23	0	1	0	3	0	1.0
403	ADIPOR1	51094	110	108	92	0	607945	49	0	0.0
404	ADIPOR2	79602	66	66	1	1	607946	6	0	1.0
405	ADIRF	10974	48	46	0	0	0	2	0	0.0
406	ADIRF-AS1	100133190	48	46	0	0	0	2	0	0.0
407	ADISSP	54976	37	37	0	0	0	12	0	0.0
408	ADK	132	106	90	87	6	102750	32	0	6.0
409	ADM	133	20	20	4	0	103275	1	0	0.0
411	ADM2	79924	154	151	1	2	608682	12	0	2.0
412	ADM5	199800	15	14	0	0	0	3	0	0.0
413	ADNP	23394	543	356	510	112	611386	101	7	112.0
414	ADNP-AS1	101927631	129	95	0	11	0	37	0	11.0
415	ADNP2	22850	179	172	0	1	617422	12	0	1.0
416	ADO	84890	17	17	0	0	611392	4	0	-25.0
417	ADORA1	134	26	25	9	0	102775	4	0	0.0
418	ADORA2A	135	106	102	6	1	102776	39	0	-1.0
419	ADORA2A-AS1	646023	45	41	0	0	0	24	0	0.0
420	ADORA2B	136	49	49	4	7	600446	15	0	7.0
421	ADORA3	140	15	15	1	0	600445	0	0	0.0
422	ADPGK	83440	38	37	0	0	611861	4	0	0.0
423	ADPGK-AS1	100287559	10	10	0	0	0	0	0	0.0
424	ADPRH	141	20	20	0	0	603081	5	0	-2.0
425	ADPRHL1	113622	118	118	4	0	610620	7	0	0.0
426	ADPRM	56985	24	24	0	0	0	6	0	0.0
427	ADPRS	54936	47	38	30	13	610624	12	1	13.0
428	ADRA1A	148	77	77	5	0	104221	3	0	-3.0
429	ADRA1B	147	22	22	1	0	104220	1	0	0.0
430	ADRA1D	146	29	29	1	0	104219	4	0	-2.0
431	ADRA2A	150	31	30	8	0	104210	1	0	0.0
432	ADRA2B	151	82	80	21	0	104260	40	0	-5.0
433	ADRA2C	152	102	102	3	0	104250	2	0	-2.0
434	ADRB1	153	39	38	14	0	109630	1	0	-3.0
435	ADRB2	154	50	46	32	0	109690	2	0	0.0
436	ADRB3	155	68	64	13	0	109691	8	0	-21.0
437	ADRM1	11047	37	35	6	0	610650	7	0	0.0
438	ADSL	158	882	639	857	56	608222	372	33	56.0
439	ADSS1	122622	292	272	226	16	612498	108	1	14.0
440	ADSS2	159	93	91	0	1	103060	9	0	0.0
441	ADTRP	84830	26	26	0	0	614348	2	0	-40.0
442	AEBP1	165	274	230	243	11	602981	77	2	4.0
443	AEBP2	121536	37	37	0	0	617934	2	0	0.0
444	AEN	64782	32	31	0	0	610177	1	0	0.0
445	AFAP1	60312	79	79	2	2	608252	9	0	2.0
446	AFAP1-AS1	84740	29	29	0	0	619779	1	0	0.0
447	AFAP1L1	134265	18	17	0	0	614410	2	0	0.0
448	AFAP1L2	84632	44	44	2	1	612420	2	0	0.0
449	AFDN	4301	73	73	3	4	159559	3	0	4.0
450	AFDN-DT	653483	18	18	0	0	0	0	0	0.0
451	AFF1	4299	43	43	9	3	159557	7	0	3.0
452	AFF1-AS1	100506746	9	9	0	0	0	0	0	0.0
453	AFF2	2334	426	366	209	18	300806	114	2	15.0
454	AFF3	3899	54	50	26	12	601464	18	0	12.0
455	AFF4	27125	264	215	233	5	604417	89	0	4.0
456	AFG1L	246269	22	22	0	0	617469	2	0	-1.0
457	AFG3L2	10939	563	385	454	52	604581	125	10	52.0
458	AFM	173	25	25	0	0	104145	3	0	0.0
459	AFMID	125061	17	17	0	0	0	0	0	-2.0
460	AFP	174	37	37	12	3	104150	3	0	3.0
461	AFTPH	54812	17	17	0	1	619628	1	0	1.0
